Genus,Name,Respiration,Gram_staining,Shape,Capsulation,Motility,Intra_extra
Bacillus,Bacillus anthracis,AEROBIC,GRAMPOS,RODS,ENCAPSULATED,NONMOTILE,EXTRACELL
Bordetella,Bordetella pertussis,AEROBIC,GRAMNEG,COCCI,ENCAPSULATED,NONMOTILE,EXTRACELL
Spirochaetaceae,Borrelia burgdorferi,ANAEROBIC,GRAMNEG,RODS,ENCAPSULATED,HIGHLYMOTILE,EXTRACELL
Brucella,Brucella abortus,AEROBIC,GRAMNEG,COCCI,UNENCAPSULATED,NONMOTILE,INTRACELL
Brucella,Brucella canis,AEROBIC,GRAMNEG,COCCI,UNENCAPSULATED,NONMOTILE,INTRACELL
Brucella,Brucella melitensis,AEROBIC,GRAMNEG,COCCI,UNENCAPSULATED,NONMOTILE,INTRACELL
Brucella,Brucella suis,AEROBIC,GRAMNEG,COCCI,UNENCAPSULATED,NONMOTILE,INTRACELL
Campylobacter,Campylobacter jejuni,MICROAEROPHIL,GRAMNEG,RODS,UNENCAPSULATED,MOTILE,EXTRACELL
Chlamydophila,Chlamydia pneumoniae,AEROBIC,NONE,SMALL,UNENCAPSULATED,MOTILE,INTRACELL
Chlamydophila,Chlamydia trachomatis,AEROBIC,NONE,SMALL,UNENCAPSULATED,MOTILE,INTRACELL
Chlamydophila,Chlamydophila psittaci,AEROBIC,NONE,SMALL,UNENCAPSULATED,MOTILE,INTRACELL
Clostridium,Clostridium botulinum,ANAEROBIC,GRAMPOS,RODS,ENCAPSULATED,MOTILE,EXTRACELL
Clostridium,Clostridium difficile,ANAEROBIC,GRAMPOS,RODS,ENCAPSULATED,MOTILE,EXTRACELL
Clostridium,Clostridium perfringens,ANAEROBIC,GRAMPOS,RODS,ENCAPSULATED,MOTILE,EXTRACELL
Clostridium,Clostridium tetani,ANAEROBIC,GRAMPOS,RODS,ENCAPSULATED,MOTILE,EXTRACELL
Corynebacterium,Corynebacterium diphtheriae,FACULTATIVE,GRAMPOS,RODS,UNENCAPSULATED,NONMOTILE,EXTRACELL
Escherichia,E. coli O157:H7,FACULTATIVE,GRAMNEG,RODS,UNDEF,MOTILE,EXTRACELL
Enterococcus,Enterococcus faecalis,FACULTATIVE,GRAMPOS,COCCI,UNDEF,NONMOTILE,EXTRACELL
Enterococcus,Enterococcus faecium,FACULTATIVE,GRAMPOS,COCCI,UNDEF,NONMOTILE,EXTRACELL
Escherichia,Enteropathogenic E. coli (EHEC),FACULTATIVE,GRAMNEG,RODS,UNDEF,MOTILE,EXTRACELL
Escherichia,Enterotoxigenic Escherichia coli (ETEC),FACULTATIVE,GRAMNEG,RODS,UNDEF,MOTILE,EXTRACELL
Escherichia,Escherichia coli,FACULTATIVE,GRAMNEG,RODS,BOTH,MOTILE,BOTH
Francisella,Francisella tularensis,AEROBIC,GRAMNEG,RODS,ENCAPSULATED,NONMOTILE,BOTH
Haemophilus,Haemophilus influenzae,AEROBIC,GRAMNEG,RODS,BOTH,NONMOTILE,EXTRACELL
Helicobacter,Helicobacter pylori,MICROAEROPHIL,GRAMNEG,RODS,UNDEF,MOTILE,EXTRACELL
Legionella,Legionella pneumophila,AEROBIC,GRAMNEG,RODS,UNENCAPSULATED,MOTILE,BOTH
Leptospira,Leptospira interrogans,AEROBIC,GRAMNEG,RODS,UNDEF,HIGHLYMOTILE,EXTRACELL
Listeria,Listeria monocytogenes,FACULTATIVE,GRAMPOS,RODS,UNDEF,MOTILE,INTRACELL
Mycobacterium,Mycobacterium leprae,AEROBIC,NONE,RODS,UNENCAPSULATED,NONMOTILE,EXTRACELL
Mycobacterium,Mycobacterium tuberculosis,AEROBIC,NONE,RODS,UNENCAPSULATED,NONMOTILE,EXTRACELL
Mycobacterium,Mycobacterium ulcerans,AEROBIC,NONE,RODS,UNENCAPSULATED,NONMOTILE,EXTRACELL
Mycoplasma,Mycoplasma pneumoniae,AEROBIC,NONE,RODS,ENCAPSULATED,UNDEF,EXTRACELL
Neisseria,Neisseria gonorrhoeae,AEROBIC,GRAMNEG,COCCI,BOTH,NONMOTILE,BOTH
Neisseria,Neisseria meningitidis,AEROBIC,GRAMNEG,COCCI,BOTH,NONMOTILE,EXTRACELL
Pseudomonas,Pseudomonas aeruginosa,AEROBIC,GRAMNEG,RODS,ENCAPSULATED,MOTILE,EXTRACELL
Rickettsia,Rickettsia rickettsii,AEROBIC,GRAMNEG,RODS,SLIME,NONMOTILE,INTRACELL
Salmonella,Salmonella typhi,FACULTATIVE,GRAMNEG,RODS,ENCAPSULATED,MOTILE,BOTH
Salmonella,Salmonella typhimurium,FACULTATIVE,GRAMNEG,RODS,ENCAPSULATED,MOTILE,BOTH
Shigella,Shigella sonnei,FACULTATIVE,GRAMNEG,RODS,UNENCAPSULATED,NONMOTILE,EXTRACELL
Staphylococcus,Staphylococcus aureus,FACULTATIVE,GRAMPOS,COCCI,BOTH,NONMOTILE,EXTRACELL
Staphylococcus,Staphylococcus epidermidis,FACULTATIVE,GRAMPOS,COCCI,BOTH,NONMOTILE,EXTRACELL
Staphylococcus,Staphylococcus saprophyticus,FACULTATIVE,GRAMPOS,COCCI,BOTH,NONMOTILE,EXTRACELL
Streptococcus,Streptococcus agalactiae,FACULTATIVE,GRAMPOS,COCCI,BOTH,NONMOTILE,EXTRACELL
Streptococcus,Streptococcus pneumoniae,FACULTATIVE,GRAMPOS,COCCI,BOTH,NONMOTILE,EXTRACELL
Streptococcus,Streptococcus pyogenes,FACULTATIVE,GRAMPOS,COCCI,BOTH,NONMOTILE,EXTRACELL
Spirochaetaceae,Treponema pallidum,MICROAEROPHIL,GRAMNEG,RODS,UNDEF,HIGHLYMOTILE,EXTRACELL
Vibrio,Vibrio cholerae,FACULTATIVE,GRAMNEG,RODS,UNENCAPSULATED,HIGHLYMOTILE,EXTRACELL
Yersinia,Yersinia pestis,FACULTATIVE,GRAMNEG,RODS,ENCAPSULATED,NONMOTILE,INTRACELL